match_id,winning_team,mid_boss.team_claimed,1,2,3,4,6,7,8,10,11,12,13,14,15,16,17,18,19,20,25,27,31,35,50,52,58,60,63,64,65,66,67,69,72,76,77,79,80,81
84062521,Team1,-1,0,0,0,30190,0,0,0,0,-28999,0,0,0,0,-33111,0,0,0,0,0,27106,21311,0,27326,0,0,0,-31384,-28373,0,0,22269,0,-28999,0,0,0,23609,-30628
84062561,Team1,1,0,-30546,0,28277,0,0,0,0,27331,0,27906,-18624,25764,28980,0,0,-18838,31359,-25763,0,0,0,0,0,0,0,-30545,0,0,0,0,0,0,0,-22408,0,0,0
84062568,Team0,0,-26926,25550,0,0,0,0,0,23919,0,0,-21934,0,-23499,0,0,0,24026,-21861,0,0,0,25024,0,35586,27451,0,0,-20569,0,0,0,0,-30189,0,0,0,0,0
84062610,Team0,-1,0,0,22013,-24111,-24310,28899,0,0,0,0,0,0,0,0,-31944,22866,0,0,0,0,0,0,0,26392,0,0,-25414,28026,0,-28796,-22602,0,0,0,27800,0,0,0
84062629,Team1,-1,0,0,-29142,-28579,0,26589,0,0,0,0,0,20115,-29931,0,0,0,0,0,-30331,-32518,0,0,27810,0,31677,20948,29294,0,0,0,-29592,0,0,0,0,0,0,0
84062638,Team0,0,0,0,26943,22847,0,-30212,0,0,0,0,0,0,0,0,-24277,20950,0,0,0,-27516,0,0,0,0,0,-25240,24414,0,0,-24613,0,30952,24447,0,-22932,0,0,0
84062643,Team1,0,0,-25761,20322,0,0,21944,0,-24316,0,0,0,0,-25852,0,0,26870,-23596,-24296,0,19347,0,0,0,0,0,0,23200,0,0,0,27299,0,0,0,0,0,-26841,0
84062648,Team1,-1,0,0,0,0,0,20839,0,0,0,0,-34034,0,-30374,22251,0,0,-30859,0,0,20820,18994,0,-31996,0,0,0,24783,0,0,-30231,0,-28822,0,0,0,23556,0,0
84062673,Team1,0,0,0,0,0,0,30165,0,24250,0,0,0,0,0,0,0,0,22384,26450,0,0,-24791,0,-29140,27271,0,0,-31827,-27648,0,0,0,0,-27824,0,23911,0,-25008,0
84062704,Team0,0,-20295,21333,-20735,0,0,0,0,0,0,0,0,24033,-24582,0,0,0,25178,0,0,0,0,21075,-27901,0,0,0,24947,0,0,30237,0,0,0,0,-23208,0,-22010,0
84062712,Team0,-1,0,-28630,0,-25586,0,0,0,-24579,0,25231,30008,0,0,0,0,0,0,-25111,27857,0,23237,0,-29773,0,0,0,0,28963,0,0,0,0,-33303,0,0,0,0,28812
84062725,Team1,-1,0,0,22766,0,-28483,-38134,0,-29225,0,0,0,0,0,-28095,0,0,25363,0,0,24933,22435,0,23787,-32200,0,0,0,-27471,0,0,0,0,0,0,0,0,0,25535
84062765,Team0,0,-24940,0,0,0,0,32303,0,-25327,0,29997,0,0,-26541,0,0,0,0,0,0,28412,0,0,0,0,0,0,-35077,-32248,27877,-31745,0,27921,0,0,0,0,26593,0
84062782,Team1,-1,0,-30470,0,23047,0,0,0,-29648,32158,0,28067,-35529,24385,0,27901,0,26037,0,0,0,0,0,0,0,0,0,0,0,-30505,-36589,0,0,0,0,-27234,0,0,0
84062806,Team1,-1,-24921,0,-29121,0,0,0,-24399,-24517,21425,0,34088,0,0,29251,0,22259,-27774,0,0,0,0,0,0,0,0,0,0,22189,0,0,0,0,0,20871,-26796,0,0,0
84062823,Team1,0,0,0,0,-25017,0,0,0,0,0,0,0,0,19932,-25512,0,0,0,-26216,0,0,22931,0,0,0,0,0,28765,0,0,23676,0,-26727,0,27196,-23947,0,24543,-23647
84062862,Team0,0,0,0,-26768,23457,0,26414,0,0,-25607,0,25688,0,-33881,0,0,29318,0,0,0,-30110,0,22480,0,0,18832,0,0,0,-24622,0,0,0,0,0,-25869,0,0,0
84062890,Team0,1,0,0,0,0,0,-23947,0,0,0,-21772,30506,0,0,-24604,0,0,0,26600,-24417,0,-24294,0,0,25547,0,26779,0,-30033,0,33076,0,0,0,0,0,0,23698,0
84062891,Team1,-1,26269,0,-32326,0,0,27140,0,-32275,0,0,0,23788,0,0,0,0,0,0,0,0,-26829,0,0,24871,0,0,25671,0,0,-28275,17321,0,0,0,-28477,0,0,-26829
84062977,Team0,1,0,-31960,0,0,-27633,0,-24331,24175,0,0,26521,0,0,0,0,26289,-31252,0,0,0,0,0,-24633,0,0,0,26691,30682,0,32840,0,0,0,-27842,0,0,0,0
84032141,Team0,1,0,-25176,0,0,-25554,0,-25684,0,0,0,-27589,0,0,32890,0,-23357,27448,0,0,0,32755,0,-32329,0,0,0,0,0,29009,0,0,0,0,27351,0,26563,0,0
